target_patient,model,selection_population,rank,channel,selected_channels,validation_cross_entropy,validation_auprc,validation_brier
PN06,P,personalized_training_events,15,F9,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9",0.7248177409387476,0.11389362485322926,0.26066512353532145
PN06,P,personalized_training_events,16,FC2,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2",0.7309866038482473,0.11364215061846808,0.26425484232400304
PN06,P,personalized_training_events,17,CZ,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ",0.7373641566601176,0.11197258697307025,0.26742870098325977
PN06,P,personalized_training_events,18,T5,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ, T5",0.7430326688448944,0.11072786503741405,0.26939478359641245
PN06,P,personalized_training_events,19,FP1,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ, T5, FP1",0.7479765423623752,0.11004176666750014,0.2719836229219341
PN06,P,personalized_training_events,20,PZ,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ, T5, FP1, PZ",0.7554246899087765,0.10981431324091331,0.27528380933757307
PN06,P,personalized_training_events,21,F3,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ, T5, FP1, PZ, F3",0.7628464567114633,0.10770355700218272,0.2781756993978157
PN06,P,personalized_training_events,22,C3,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ, T5, FP1, PZ, F3, C3",0.7701530463096563,0.10669064250834574,0.281101989813906
PN06,P,personalized_training_events,23,F7,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ, T5, FP1, PZ, F3, C3, F7",0.7781465891990227,0.10527028673958429,0.2842559745672917
PN06,P,personalized_training_events,24,P3,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ, T5, FP1, PZ, F3, C3, F7, P3",0.7858456856275142,0.1045476352086996,0.2874999476286396
PN06,P,personalized_training_events,25,T3,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ, T5, FP1, PZ, F3, C3, F7, P3, T3",0.793424063198473,0.10395348856093184,0.2905541228479467
PN06,P,personalized_training_events,26,FC1,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ, T5, FP1, PZ, F3, C3, F7, P3, T3, FC1",0.8006922673813544,0.10348717421775783,0.29379614467133286
PN06,P,personalized_training_events,27,CP2,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ, T5, FP1, PZ, F3, C3, F7, P3, T3, FC1, CP2",0.8083790517349666,0.10310963094364065,0.29741865806411955
PN06,P,personalized_training_events,28,FC5,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ, T5, FP1, PZ, F3, C3, F7, P3, T3, FC1, CP2, FC5",0.8159731142718164,0.10244509700594344,0.3003219427318347
PN06,P,personalized_training_events,29,CP5,"FC6, F4, O2, FP2, C4, F10, CP1, T4, FZ, T6, F8, O1, CP6, P4, F9, FC2, CZ, T5, FP1, PZ, F3, C3, F7, P3, T3, FC1, CP2, FC5, CP5",0.825513874065632,0.1021113903338848,0.30427450934451056
PN06,G,other_four_patients,1,P4,P4,0.6644998512517251,0.2629196425132971,0.23705317908123374
PN06,G,other_four_patients,2,C3,"P4, C3",0.6535396947162684,0.2298763359767472,0.2314926540520308
PN06,G,other_four_patients,3,PZ,"P4, C3, PZ",0.6486156708389085,0.23993882280411044,0.22940201100433713
PN06,G,other_four_patients,4,CZ,"P4, C3, PZ, CZ",0.649572758043945,0.23079568478201976,0.22903863482127343
PN06,G,other_four_patients,5,O2,"P4, C3, PZ, CZ, O2",0.6503509563105804,0.2378652849373587,0.229342062451282
PN06,G,other_four_patients,6,FP2,"P4, C3, PZ, CZ, O2, FP2",0.6508344489177685,0.2375163460041626,0.22937370647409785
PN06,G,other_four_patients,7,CP1,"P4, C3, PZ, CZ, O2, FP2, CP1",0.6526253566183237,0.2346273433516023,0.23047815157757356
PN06,G,other_four_patients,8,F3,"P4, C3, PZ, CZ, O2, FP2, CP1, F3",0.6545438538098761,0.23425300043196778,0.23131960363727208
PN06,G,other_four_patients,9,O1,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1",0.6563461836312358,0.23833968042522743,0.23228455743024917
PN06,G,other_four_patients,10,FZ,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ",0.6581111000923486,0.23523598721113412,0.23323219359996247
PN06,G,other_four_patients,11,FC5,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5",0.6600253678298766,0.23264795609759448,0.23422908540306192
PN06,G,other_four_patients,12,FP1,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1",0.661667193859222,0.235102227946012,0.2349239158155748
PN06,G,other_four_patients,13,F7,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7",0.6636695664201332,0.23795339011700206,0.23590817906764308
PN06,G,other_four_patients,14,CP2,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2",0.665560572536159,0.237433456576689,0.23698450828011292
PN06,G,other_four_patients,15,T4,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4",0.6680722622554948,0.23997507939362028,0.23821600956287528
PN06,G,other_four_patients,16,FC6,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6",0.6706394286035702,0.23440706735844358,0.2393505235152908
PN06,G,other_four_patients,17,T6,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6",0.6728648293641859,0.2358902170520636,0.24044127960063755
PN06,G,other_four_patients,18,F4,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6, F4",0.6751386454698228,0.23593556194145984,0.24148049988012438
PN06,G,other_four_patients,19,C4,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6, F4, C4",0.6771606545545605,0.23740912370521028,0.2425050987741003
PN06,G,other_four_patients,20,T5,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6, F4, C4, T5",0.6792319484065006,0.23661251146275827,0.24354673039842428
PN06,G,other_four_patients,21,P3,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6, F4, C4, T5, P3",0.6814749753433443,0.23617897407972122,0.2446388755050297
PN06,G,other_four_patients,22,CP5,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6, F4, C4, T5, P3, CP5",0.684173531106869,0.23233305713228966,0.24593058874866766
PN06,G,other_four_patients,23,CP6,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6, F4, C4, T5, P3, CP5, CP6",0.686849425490989,0.22967425626803956,0.24721154011388188
PN06,G,other_four_patients,24,T3,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6, F4, C4, T5, P3, CP5, CP6, T3",0.6894489742805434,0.23233041557510298,0.24850578464776837
PN06,G,other_four_patients,25,F8,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6, F4, C4, T5, P3, CP5, CP6, T3, F8",0.6921454569589874,0.2301615698692051,0.24973277044315267
PN06,G,other_four_patients,26,F9,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6, F4, C4, T5, P3, CP5, CP6, T3, F8, F9",0.6947360515450934,0.22688894446542324,0.2509752102592579
PN06,G,other_four_patients,27,FC2,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6, F4, C4, T5, P3, CP5, CP6, T3, F8, F9, FC2",0.6987111304962768,0.22282304902732775,0.2528806315001962
